"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2024","307.10","303.50","309.05","303.45","0.46K","0.80%"
"10/17/2024","304.65","308.75","311.60","303.50","0.65K","-1.18%"
"10/16/2024","308.30","308.20","309.20","305.40","0.31K","-0.36%"
"10/15/2024","309.40","313.20","315.80","307.10","0.45K","-1.04%"
"10/14/2024","312.65","304.40","314.25","303.80","0.58K","3.10%"
"10/11/2024","303.25","306.75","307.10","302.00","0.38K","-0.98%"
"10/10/2024","306.25","301.50","309.00","300.40","0.50K","1.74%"
"10/09/2024","301.00","300.00","304.10","299.55","0.37K","0.18%"
"10/08/2024","300.45","298.00","301.50","296.00","0.36K","0.54%"
"10/07/2024","298.85","309.00","309.00","297.00","0.69K","-3.91%"
"10/04/2024","311.00","308.55","313.00","306.00","0.46K","1.70%"
"10/03/2024","305.80","310.90","312.40","305.25","0.47K","-1.70%"
"10/02/2024","311.10","317.00","317.50","310.35","0.68K","-1.77%"
"10/01/2024","316.70","323.20","323.65","314.00","0.83K","-1.58%"
